Product code;Language;Vendor;Product id;Category
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2792";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2793";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2794";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2795";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2796";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة""";"en";"EL-Mokhtar";"2797";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2798";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2799";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2800";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2801";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2802";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2803";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2804";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2805";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2806";"SMALL HOME APPLIANCES ///Vacuum cleaner"
"";"ar";"";"";"اجهزة منزلية صغيرة///مكانس كهربائية"
"";"en";"EL-Mokhtar";"2807";"SMALL HOME APPLIANCES ///coffee makers"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات قهوة"
"";"en";"EL-Mokhtar";"2808";"SMALL HOME APPLIANCES ///coffee makers"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات قهوة"
"";"en";"EL-Mokhtar";"2809";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2810";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2811";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات""";"en";"EL-Mokhtar";"2812";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2813";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2814";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2815";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2816";"HOME APPLIANCES///COOKERS"
"";"ar";"";"";"الاجهزة المنزلية///بوتاجازات"
"";"en";"EL-Mokhtar";"2817";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2818";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2819";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2820";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2821";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2822";"HOME APPLIANCES///COOKERS"
"";"ar";"";"";"الاجهزة المنزلية///بوتاجازات"
"";"en";"EL-Mokhtar";"2823";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2824";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2825";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2826";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة""";"en";"EL-Mokhtar";"2827";"Health & Beauty"
"";"ar";"";"";"الصحة و الجمال "
"";"en";"EL-Mokhtar";"2828";"Health & Beauty"
"";"ar";"";"";"الصحة و الجمال "
"";"en";"EL-Mokhtar";"2829";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2830";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2831";"Computers  & Accessories ///Desktops"
"";"ar";"";"";"الكمبيوتر و ملحقاته///أجهزة الكمبيوتر المكتبية"
"";"en";"EL-Mokhtar";"2832";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2833";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2834";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2835";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2836";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2837";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2838";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2839";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2840";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2841";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل""";"en";"EL-Mokhtar";"2842";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2843";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2844";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2845";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2846";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2847";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2848";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2849";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2850";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2851";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2852";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2853";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2854";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2855";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2856";"HOME APPLIANCES///DISH WASHER"
"";"ar";"";"";"الاجهزة المنزلية///غسالات الاطباق""";"en";"EL-Mokhtar";"2857";"HOME APPLIANCES///DISH WASHER"
"";"ar";"";"";"الاجهزة المنزلية///غسالات الاطباق"
"";"en";"EL-Mokhtar";"2858";"HOME APPLIANCES///DISH WASHER"
"";"ar";"";"";"الاجهزة المنزلية///غسالات الاطباق"
"";"en";"EL-Mokhtar";"2859";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2860";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2861";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2862";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2863";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2864";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2865";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2866";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2867";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2868";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2869";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2870";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2871";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون""";"en";"EL-Mokhtar";"2872";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2873";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2874";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2875";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2876";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2877";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2878";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2879";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2880";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2881";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2882";"Fitness Supplies"
"";"ar";"";"";"المستلزمات الرياضية"
"";"en";"EL-Mokhtar";"2883";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2884";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2885";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2886";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية""";"en";"H2";"2887";"HOME APPLIANCES///Gas Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات غاز"
"";"en";"EL-Mokhtar";"2888";"HOME APPLIANCES///Gas Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات غاز"
"";"en";"EL-Mokhtar";"2889";"HOME APPLIANCES///Gas Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات غاز"
"";"en";"EL-Mokhtar";"2890";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2891";"HOME APPLIANCES///Gas Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات غاز"
"";"en";"EL-Mokhtar";"2892";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2893";"HOME APPLIANCES///Home Theater"
"";"ar";"";"";"الاجهزة المنزلية///مسرح منزلي"
"";"en";"Nor Elhoda";"2894";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"2895";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2896";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2897";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"2898";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"2899";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2900";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2901";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات""";"en";"Nor Elhoda";"2902";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2903";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"2904";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2905";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"Nor Elhoda";"2906";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"EL-Mokhtar";"2907";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2908";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2909";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2910";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2911";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2912";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2913";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2914";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2915";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2916";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان""";"en";"EL-Mokhtar";"2917";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2918";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2919";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2920";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2921";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2922";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2923";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2924";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2925";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2926";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2927";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2928";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2929";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2930";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2931";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية""";"en";"EL-Mokhtar";"2932";"Health & Beauty"
"";"ar";"";"";"الصحة و الجمال "
"";"en";"EL-Mokhtar";"2933";"Health & Beauty///Cosmetics "
"";"ar";"";"";"الصحة و الجمال ///مستحضرات التجميل"
"";"en";"EL-Mokhtar";"2934";"Health & Beauty///Cosmetics "
"";"ar";"";"";"الصحة و الجمال ///مستحضرات التجميل"
"";"en";"EL-Mokhtar";"2935";"HOME APPLIANCES///WASHING MACHINE"
"";"ar";"";"";"الاجهزة المنزلية///غسالات ملابس"
"";"en";"EL-Mokhtar";"2936";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2937";"HOME APPLIANCES///WASHING MACHINE"
"";"ar";"";"";"الاجهزة المنزلية///غسالات ملابس"
"";"en";"EL-Mokhtar";"2938";"HOME APPLIANCES///WASHING MACHINE"
"";"ar";"";"";"الاجهزة المنزلية///غسالات ملابس"
"";"en";"EL-Mokhtar";"2939";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2940";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2941";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2942";"CAMERAS & PHOTOS"
"";"ar";"";"";"كاميرات تصوير"
"";"en";"EL-Mokhtar";"2943";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2944";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2945";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2946";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية""";"en";"EL-Mokhtar";"2947";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2948";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2949";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2950";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2951";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2952";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2953";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2954";"HOME APPLIANCES///BUILT IN "
"";"ar";"";"";"الاجهزة المنزلية///بلت ان"
"";"en";"EL-Mokhtar";"2955";"HOME APPLIANCES///TVs"
"";"ar";"";"";"الاجهزة المنزلية///تليفزيون"
"";"en";"EL-Mokhtar";"2956";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2957";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2958";"SMALL HOME APPLIANCES ///Blenders "
"";"ar";"";"";"اجهزة منزلية صغيرة///خلاطات"
"";"en";"EL-Mokhtar";"2959";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2960";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2961";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت""";"en";"EL-Mokhtar";"2962";"Watches & Accessories "
"";"ar";"";"";"ساعات و اكسسوارات"
"";"en";"EL-Mokhtar";"2963";"Watches & Accessories ///watches"
"";"ar";"";"";"ساعات و اكسسوارات///ساعات"
"";"en";"EL-Mokhtar";"2964";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2965";"MOBILE & TABLET///Mobile devices"
"";"ar";"";"";"موبايلات و تابلت///أجهزة موبايل"
"";"en";"EL-Mokhtar";"2966";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2967";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2969";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2970";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2971";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2972";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2973";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2974";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2975";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2976";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2977";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت""";"en";"EL-Mokhtar";"2979";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2980";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2981";"SMALL HOME APPLIANCES ///microwave"
"";"ar";"";"";"اجهزة منزلية صغيرة///ميكروويف"
"";"en";"Digital house";"2982";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"Digital house";"2984";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"العالمية ";"2985";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2986";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2987";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2988";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2989";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2990";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"العالمية ";"2991";"kitchen ware///cookware set"
"";"ar";"";"";"ادوات المطبخ///اواني الطهي "
"";"en";"العالمية ";"2992";"kitchen ware"
"";"ar";"";"";"ادوات المطبخ"
"";"en";"H2";"2994";"Home Supermarket & Groceries"
"";"ar";"";"";"سوبر ماركت البيت (خزين وتوفير)"
"ah-3179rss";"en";"العالمية ";"2995";"kitchen ware"
"";"ar";"";"";"ادوات المطبخ""ah-31939bo";"en";"العالمية ";"2996";"kitchen ware"
"";"ar";"";"";"ادوات المطبخ"
"";"en";"D2";"2997";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"Nor Elhoda";"2998";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"2999";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3000";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3001";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3002";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3003";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3004";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3005";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3006";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3007";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3008";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3009";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3010";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات""";"en";"Nor Elhoda";"3011";"Tools & Equipment"
"";"ar";"";"";"عدد و ادوات"
"";"en";"Nor Elhoda";"3012";"Tools & Equipment///Equipment"
"";"ar";"";"";"عدد و ادوات///ادوات"
"";"en";"H2";"3013";"HOME APPLIANCES///WASHING MACHINE"
"";"ar";"";"";"الاجهزة المنزلية///غسالات ملابس"
"";"en";"H2";"3014";"HOME APPLIANCES///WASHING MACHINE"
"";"ar";"";"";"الاجهزة المنزلية///غسالات ملابس"
"";"en";"H2";"3015";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"H2";"3016";"HOME APPLIANCES///DISH WASHER"
"";"ar";"";"";"الاجهزة المنزلية///غسالات الاطباق"
"";"en";"H2";"3017";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"H2";"3018";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"H2";"3019";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"H2";"3020";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
